hotel_id,hotel_name,city,area,room_type,price,rating,reviews,discount,availability_365
1,OYO Inn 282,Mumbai,Salt Lake,Classic,4712.0,2.8,0.0,0.0,15.0
3,Oyo Flagship 221,Chennai,Andheri,Classic,6214.0,2.7,0.0,0.0,0.0
5,Oyo Inn 855,Hyderabad,Airport Road,Classic,6677.0,3.4,0.0,0.0,325.0
6,oyo Flagship 168,Goa,City Center,Deluxe,8273.0,3.6,0.0,48.0,0.0
7,Oyo Townhouse 217,Pune,Park Street,Deluxe,5855.0,3.6,0.0,0.0,0.0
8,Oyo Stay 409,Ahmedabad,Airport Road,Deluxe,6630.0,4.8,0.0,0.0,321.0
10,OYO SilverKey 446,Chennai,Whitefield,Classic,3291.0,3.6,0.0,0.0,0.0
11,oyo Flagship 157,Goa,Airport Road,Suite,6826.0,3.6,0.0,0.0,157.0
12,OYO Stay 970,Delhi,Whitefield,Deluxe,1990.0,4.2,1090.0,47.0,0.0
13,oyo Residency 748,Kolkata,Airport Road,Deluxe,3995.0,3.6,0.0,38.0,115.0
16,oyo Townhouse 690,Jaipur,Andheri,Deluxe,2312.0,3.6,223.0,0.0,216.0
17,Oyo Flagship 896,Hyderabad,Airport Road,Deluxe,1935.0,3.6,200.0,0.0,0.0
18,Oyo Flagship 886,Jaipur,Banjara Hills,Premium,7270.0,2.9,0.0,55.0,0.0
21,oyo Stay 324,Ahmedabad,Banjara Hills,Premium,4972.0,3.6,0.0,0.0,161.0
22,Oyo Stay 577,Delhi,Connaught Place,Suite,2338.0,3.6,543.0,0.0,0.0
24,OYO Inn 352,Ahmedabad,City Center,Classic,4035.0,3.6,104.0,32.0,170.0
26,Oyo SilverKey 921,Delhi,Salt Lake,Classic,1353.0,3.0,1365.0,0.0,79.0
27,OYO Collection 26,Bangalore,MG Road,Deluxe,3638.0,3.6,0.0,20.0,0.0
28,Oyo Flagship 205,Delhi,Connaught Place,Suite,8241.0,3.2,456.0,17.0,0.0
29,oyo Stay 410,Chennai,Salt Lake,Suite,6125.0,3.6,0.0,0.0,0.0
30,oyo Townhouse 395,Ahmedabad,Park Street,Suite,3814.0,3.6,0.0,0.0,220.0
31,oyo SilverKey 680,Chennai,Whitefield,Deluxe,2741.0,3.6,0.0,49.0,0.0
34,OYO Flagship 26,Kolkata,Park Street,Deluxe,1457.0,3.6,0.0,0.0,0.0
35,Oyo Flagship 152,Jaipur,Whitefield,Deluxe,790.0,4.3,0.0,0.0,0.0
36,Oyo Inn 544,Bangalore,MG Road,Deluxe,5898.0,3.6,0.0,40.0,0.0
38,OYO Flagship 155,Goa,Whitefield,Premium,4488.0,3.6,438.0,31.0,212.0
40,OYO SilverKey 447,Jaipur,MG Road,Classic,8656.0,3.6,0.0,15.0,273.0
41,oyo Stay 679,Pune,Connaught Place,Deluxe,1144.0,4.0,945.0,21.0,0.0
42,Oyo SilverKey 771,Chennai,Park Street,Deluxe,7606.0,3.6,0.0,8.0,35.0
44,oyo Stay 987,Bangalore,Salt Lake,Premium,2576.0,4.7,1185.0,0.0,101.0
45,oyo Residency 643,Ahmedabad,City Center,Suite,4678.0,3.6,0.0,0.0,0.0
46,OYO Stay 664,Chennai,MG Road,Premium,6290.0,3.6,0.0,45.0,0.0
47,oyo Residency 496,Ahmedabad,Banjara Hills,Premium,8316.0,3.6,0.0,0.0,0.0
48,oyo Inn 389,Ahmedabad,Connaught Place,Suite,6211.0,3.6,0.0,27.0,0.0
49,OYO Stay 971,Goa,Andheri,Deluxe,3830.0,3.6,0.0,0.0,0.0
50,OYO Townhouse 302,Jaipur,Whitefield,Suite,4330.0,3.6,0.0,0.0,0.0
51,oyo Collection 278,Chennai,MG Road,Deluxe,5723.0,3.6,0.0,0.0,0.0
52,oyo Stay 779,Hyderabad,Whitefield,Deluxe,5336.0,3.6,0.0,0.0,140.0
53,oyo SilverKey 715,Delhi,Connaught Place,Deluxe,2768.0,2.7,0.0,35.0,0.0
54,OYO Residency 67,Jaipur,Banjara Hills,Classic,7265.0,3.6,1405.0,0.0,127.0
56,Oyo Inn 84,Kolkata,Andheri,Suite,3273.0,2.9,320.0,0.0,16.0
57,oyo SilverKey 720,Hyderabad,Salt Lake,Classic,8138.0,3.6,0.0,0.0,278.0
58,Oyo Residency 146,Bangalore,Andheri,Classic,1869.0,3.6,0.0,41.0,0.0
59,Oyo Stay 553,Pune,City Center,Classic,8790.0,2.7,0.0,43.0,117.0
60,oyo Townhouse 782,Hyderabad,Andheri,Classic,3570.0,3.6,569.0,0.0,0.0
61,Oyo SilverKey 687,Pune,City Center,Premium,2413.0,3.6,0.0,0.0,0.0
63,OYO Flagship 274,Jaipur,Park Street,Deluxe,2846.0,3.6,992.0,0.0,0.0
64,OYO Stay 418,Goa,Andheri,Deluxe,2227.0,4.8,945.0,0.0,0.0
66,Oyo Inn 306,Delhi,Salt Lake,Premium,8722.0,3.6,0.0,0.0,164.0
67,oyo Collection 240,Kolkata,MG Road,Premium,7430.0,3.6,0.0,0.0,18.0
68,oyo SilverKey 891,Goa,MG Road,Classic,2344.0,3.6,0.0,0.0,0.0
69,oyo Inn 408,Chennai,Whitefield,Classic,2015.0,3.6,0.0,50.0,316.0
70,oyo Inn 944,Kolkata,Andheri,Deluxe,5408.0,3.6,0.0,0.0,0.0
71,OYO SilverKey 816,Delhi,MG Road,Deluxe,1619.0,3.6,298.0,0.0,89.0
72,Oyo Stay 700,Ahmedabad,Banjara Hills,Deluxe,4645.0,4.6,0.0,21.0,0.0
73,oyo Stay 162,Hyderabad,Andheri,Suite,1910.0,3.6,0.0,49.0,0.0
75,oyo Collection 853,Ahmedabad,MG Road,Deluxe,5389.0,3.6,0.0,44.0,49.0
76,Oyo Townhouse 594,Hyderabad,MG Road,Classic,6677.0,3.6,0.0,0.0,0.0
77,Oyo Residency 967,Bangalore,Salt Lake,Classic,8594.0,3.6,0.0,0.0,187.0
78,OYO SilverKey 550,Pune,Connaught Place,Classic,2724.0,3.6,0.0,0.0,345.0
80,Oyo Collection 119,Delhi,Whitefield,Premium,2292.0,4.5,0.0,0.0,300.0
82,oyo Inn 368,Chennai,City Center,Classic,1692.0,3.1,931.0,0.0,170.0
84,OYO Inn 888,Bangalore,City Center,Deluxe,1122.0,2.5,0.0,16.0,215.0
86,Oyo Residency 412,Delhi,Airport Road,Deluxe,7684.0,3.6,150.0,0.0,0.0
88,OYO Collection 348,Jaipur,Connaught Place,Deluxe,8130.0,3.5,0.0,47.0,0.0
89,OYO Residency 88,Mumbai,Whitefield,Classic,2227.0,3.6,763.0,0.0,168.0
90,Oyo Residency 682,Pune,Park Street,Deluxe,7629.0,3.6,0.0,0.0,0.0
91,OYO SilverKey 866,Kolkata,Whitefield,Classic,6722.0,3.6,0.0,0.0,0.0
92,OYO SilverKey 720,Delhi,MG Road,Deluxe,5762.0,3.3,0.0,0.0,324.0
93,oyo Stay 221,Mumbai,Airport Road,Classic,6863.0,3.5,0.0,0.0,79.0
94,OYO Inn 84,Ahmedabad,Whitefield,Classic,5158.0,3.6,0.0,0.0,0.0
96,Oyo SilverKey 123,Hyderabad,Whitefield,Classic,826.0,4.2,0.0,0.0,0.0
97,Oyo Residency 760,Mumbai,Salt Lake,Suite,1393.0,2.5,0.0,41.0,0.0
98,Oyo Flagship 821,Delhi,Airport Road,Premium,8238.0,2.7,0.0,0.0,0.0
100,OYO Flagship 617,Hyderabad,Andheri,Deluxe,3204.0,3.6,0.0,0.0,0.0
101,OYO Collection 70,Chennai,Banjara Hills,Premium,8382.0,3.6,1211.0,0.0,231.0
102,Oyo Residency 294,Delhi,City Center,Premium,1957.0,3.6,0.0,0.0,292.0
103,oyo Collection 514,Chennai,City Center,Deluxe,3171.0,3.6,1462.0,0.0,0.0
104,oyo Stay 625,Jaipur,City Center,Deluxe,3300.0,3.6,0.0,0.0,0.0
105,Oyo Townhouse 572,Mumbai,MG Road,Suite,7033.0,3.6,1234.0,0.0,0.0
106,oyo Inn 961,Bangalore,Whitefield,Classic,2088.0,3.6,672.0,0.0,0.0
107,Oyo Townhouse 372,Goa,Airport Road,Suite,5760.0,3.6,995.0,0.0,51.0
108,oyo Flagship 612,Chennai,Salt Lake,Suite,6872.0,3.6,1279.0,0.0,346.0
109,oyo SilverKey 771,Jaipur,Andheri,Premium,8055.0,3.6,960.0,0.0,0.0
110,oyo Collection 990,Goa,Whitefield,Classic,3355.0,4.3,512.0,35.0,364.0
111,OYO Residency 165,Hyderabad,Connaught Place,Classic,5169.0,4.6,895.0,57.0,212.0
112,oyo SilverKey 242,Pune,Connaught Place,Deluxe,7026.0,3.4,652.0,0.0,70.0
113,Oyo Inn 852,Hyderabad,Whitefield,Deluxe,2973.0,3.5,162.0,0.0,0.0
114,Oyo Flagship 309,Mumbai,Whitefield,Classic,2696.0,3.6,0.0,12.0,323.0
115,Oyo Collection 2,Bangalore,Airport Road,Classic,6480.0,3.8,0.0,38.0,278.0
116,Oyo Townhouse 651,Pune,Airport Road,Classic,7038.0,3.1,731.0,0.0,170.0
117,Oyo Stay 347,Delhi,Andheri,Classic,3568.0,3.6,1293.0,0.0,150.0
119,Oyo Townhouse 819,Chennai,Andheri,Suite,6729.0,3.6,0.0,16.0,0.0
121,oyo Inn 437,Jaipur,City Center,Classic,3430.0,3.3,0.0,32.0,0.0
122,oyo Residency 768,Chennai,Park Street,Deluxe,3321.0,3.6,0.0,0.0,0.0
123,oyo Townhouse 620,Pune,Connaught Place,Premium,3213.0,3.6,909.0,0.0,0.0
124,OYO Townhouse 754,Kolkata,Andheri,Deluxe,3748.0,3.6,0.0,0.0,0.0
125,OYO Townhouse 139,Jaipur,Connaught Place,Deluxe,1913.0,3.6,911.0,48.0,0.0
126,OYO Inn 727,Hyderabad,City Center,Suite,3552.0,3.7,411.0,55.0,0.0
127,oyo Flagship 627,Jaipur,Airport Road,Deluxe,2112.0,3.6,0.0,31.0,162.0
128,Oyo Inn 530,Jaipur,Salt Lake,Classic,6344.0,3.6,0.0,0.0,28.0
129,OYO SilverKey 169,Goa,Banjara Hills,Deluxe,3353.0,4.6,0.0,0.0,0.0
131,OYO Inn 790,Mumbai,Whitefield,Suite,5036.0,3.6,0.0,0.0,0.0
132,OYO Residency 827,Jaipur,Andheri,Deluxe,7353.0,3.6,122.0,31.0,174.0
133,oyo SilverKey 752,Chennai,Andheri,Classic,6358.0,3.6,0.0,0.0,0.0
134,OYO Townhouse 52,Kolkata,Connaught Place,Deluxe,5454.0,3.6,508.0,0.0,0.0
135,Oyo Collection 901,Goa,Connaught Place,Classic,5755.0,3.6,0.0,0.0,0.0
136,oyo Residency 670,Jaipur,Salt Lake,Suite,8410.0,3.7,882.0,51.0,0.0
138,Oyo Stay 962,Chennai,MG Road,Deluxe,6690.0,3.6,0.0,0.0,0.0
139,Oyo Flagship 621,Goa,Connaught Place,Classic,2990.0,3.6,0.0,52.0,0.0
140,Oyo Collection 836,Ahmedabad,City Center,Classic,972.0,3.3,0.0,0.0,0.0
142,oyo Townhouse 196,Ahmedabad,Andheri,Deluxe,1010.0,3.2,0.0,0.0,31.0
144,Oyo Stay 306,Kolkata,Andheri,Suite,4384.0,3.6,0.0,36.0,0.0
145,OYO Stay 693,Hyderabad,Connaught Place,Premium,6920.0,4.4,594.0,0.0,0.0
147,OYO Townhouse 424,Kolkata,Andheri,Premium,6111.0,2.7,0.0,0.0,333.0
148,Oyo SilverKey 662,Hyderabad,MG Road,Premium,1669.0,4.0,0.0,0.0,90.0
149,Oyo Flagship 960,Pune,Whitefield,Classic,5442.0,3.6,1234.0,23.0,252.0
150,Oyo SilverKey 198,Goa,Connaught Place,Suite,2545.0,3.6,0.0,0.0,290.0
151,oyo Residency 655,Bangalore,Andheri,Suite,7343.0,3.7,0.0,0.0,127.0
152,Oyo Flagship 458,Hyderabad,Park Street,Classic,5074.0,3.6,1173.0,46.0,341.0
153,Oyo Flagship 416,Jaipur,MG Road,Premium,8933.0,3.6,0.0,0.0,0.0
155,oyo Townhouse 64,Mumbai,Airport Road,Deluxe,8981.0,3.8,0.0,38.0,0.0
156,oyo Collection 829,Mumbai,Banjara Hills,Deluxe,1611.0,3.6,0.0,40.0,0.0
157,OYO Inn 224,Hyderabad,City Center,Suite,1896.0,3.6,0.0,9.0,209.0
158,oyo Inn 662,Bangalore,Whitefield,Deluxe,7587.0,3.6,0.0,0.0,0.0
159,OYO Stay 403,Mumbai,Salt Lake,Classic,2786.0,4.4,0.0,0.0,194.0
160,Oyo SilverKey 159,Kolkata,City Center,Deluxe,5216.0,3.6,231.0,47.0,105.0
161,oyo Townhouse 458,Mumbai,MG Road,Classic,1497.0,3.6,898.0,0.0,148.0
162,Oyo Stay 613,Ahmedabad,Banjara Hills,Classic,5953.0,3.2,0.0,31.0,285.0
163,oyo Collection 49,Pune,Salt Lake,Deluxe,6342.0,3.6,0.0,14.0,0.0
164,OYO SilverKey 879,Kolkata,Salt Lake,Deluxe,3065.0,3.6,0.0,0.0,130.0
165,oyo Townhouse 945,Chennai,City Center,Classic,8069.0,3.6,390.0,0.0,96.0
166,OYO Residency 929,Jaipur,Andheri,Deluxe,6155.0,4.7,433.0,0.0,356.0
167,OYO Stay 330,Pune,Andheri,Premium,5337.0,3.6,0.0,0.0,0.0
168,OYO SilverKey 321,Chennai,Salt Lake,Suite,7481.0,3.8,298.0,0.0,78.0
169,OYO Collection 584,Chennai,Andheri,Premium,4726.0,3.6,0.0,57.0,0.0
170,OYO Inn 560,Bangalore,City Center,Classic,8700.0,3.6,1314.0,0.0,211.0
171,OYO Inn 155,Kolkata,Andheri,Deluxe,849.0,3.6,0.0,0.0,249.0
172,oyo Stay 422,Delhi,Salt Lake,Deluxe,894.0,3.6,0.0,0.0,54.0
173,OYO Flagship 197,Goa,Park Street,Deluxe,4835.0,3.6,0.0,0.0,0.0
174,oyo Residency 666,Mumbai,MG Road,Classic,1219.0,3.6,0.0,0.0,0.0
176,oyo Inn 34,Goa,Salt Lake,Classic,3638.0,2.5,1202.0,0.0,153.0
178,OYO SilverKey 620,Kolkata,Salt Lake,Premium,7199.0,3.6,0.0,0.0,0.0
179,oyo SilverKey 818,Mumbai,Salt Lake,Suite,4737.0,2.7,0.0,0.0,184.0
180,OYO SilverKey 456,Mumbai,Whitefield,Premium,6596.0,2.7,0.0,0.0,52.0
181,Oyo Stay 96,Mumbai,Whitefield,Deluxe,6015.0,3.6,794.0,0.0,0.0
182,OYO SilverKey 309,Bangalore,Airport Road,Suite,5097.0,2.8,0.0,24.0,128.0
183,oyo Stay 201,Jaipur,Connaught Place,Premium,8201.0,2.8,0.0,44.0,0.0
184,OYO SilverKey 329,Ahmedabad,Andheri,Classic,3990.0,3.6,0.0,0.0,0.0
185,Oyo Residency 805,Pune,Whitefield,Classic,7137.0,3.6,0.0,0.0,236.0
186,Oyo Residency 710,Jaipur,MG Road,Deluxe,1833.0,4.0,0.0,0.0,0.0
188,OYO Inn 681,Mumbai,Connaught Place,Premium,6516.0,4.0,0.0,46.0,54.0
189,Oyo Flagship 523,Mumbai,Connaught Place,Classic,4321.0,3.6,0.0,0.0,247.0
190,Oyo Townhouse 119,Hyderabad,Airport Road,Premium,3021.0,3.6,0.0,27.0,0.0
191,OYO SilverKey 46,Chennai,Park Street,Classic,2585.0,3.6,0.0,0.0,89.0
192,oyo Collection 982,Chennai,Salt Lake,Classic,8270.0,3.6,377.0,47.0,314.0
193,oyo Collection 399,Jaipur,MG Road,Suite,772.0,3.6,0.0,0.0,166.0
198,oyo Collection 426,Pune,Park Street,Classic,7972.0,3.6,63.0,7.0,147.0
200,OYO Inn 850,Pune,Andheri,Classic,4755.0,4.5,0.0,0.0,121.0
201,oyo SilverKey 882,Ahmedabad,Banjara Hills,Classic,7715.0,3.9,423.0,0.0,275.0
203,OYO Flagship 729,Bangalore,Banjara Hills,Deluxe,5977.0,3.6,0.0,0.0,0.0
204,OYO Inn 814,Jaipur,City Center,Deluxe,2225.0,3.6,0.0,36.0,0.0
205,OYO Residency 548,Chennai,Connaught Place,Classic,7216.0,4.7,0.0,58.0,295.0
206,Oyo Residency 352,Ahmedabad,Andheri,Classic,1493.0,3.6,33.0,15.0,219.0
207,oyo SilverKey 163,Bangalore,City Center,Premium,5189.0,3.6,0.0,0.0,0.0
208,Oyo Inn 94,Kolkata,Andheri,Classic,2259.0,3.0,0.0,0.0,0.0
209,Oyo Inn 136,Mumbai,Banjara Hills,Deluxe,8526.0,3.0,1496.0,25.0,195.0
212,oyo Stay 739,Goa,Park Street,Deluxe,5368.0,3.6,617.0,0.0,0.0
213,OYO Collection 396,Delhi,MG Road,Premium,2547.0,3.6,0.0,28.0,0.0
214,oyo Inn 177,Chennai,Salt Lake,Classic,8417.0,2.5,0.0,0.0,0.0
215,oyo Collection 85,Pune,Connaught Place,Premium,3201.0,2.7,1047.0,0.0,300.0
216,oyo Collection 748,Hyderabad,Banjara Hills,Deluxe,4609.0,3.6,0.0,0.0,336.0
217,OYO Inn 141,Mumbai,Banjara Hills,Deluxe,885.0,3.6,0.0,0.0,190.0
218,oyo Townhouse 790,Hyderabad,Airport Road,Premium,1180.0,3.6,1072.0,0.0,0.0
219,Oyo Residency 581,Delhi,Whitefield,Classic,3434.0,2.9,0.0,0.0,22.0
220,OYO Collection 373,Kolkata,Park Street,Suite,6974.0,2.9,0.0,46.0,0.0
221,Oyo Residency 80,Chennai,Salt Lake,Classic,6808.0,3.7,367.0,0.0,0.0
222,Oyo Townhouse 567,Hyderabad,Andheri,Suite,8183.0,3.6,0.0,0.0,0.0
223,oyo Stay 779,Kolkata,City Center,Suite,4716.0,3.6,48.0,0.0,0.0
224,OYO Flagship 543,Hyderabad,Park Street,Classic,4602.0,3.6,0.0,0.0,0.0
226,Oyo Inn 852,Chennai,Airport Road,Deluxe,6045.0,3.5,152.0,0.0,54.0
228,OYO Flagship 856,Ahmedabad,Banjara Hills,Suite,6070.0,2.7,0.0,0.0,89.0
229,Oyo Stay 767,Pune,MG Road,Deluxe,4793.0,3.6,248.0,0.0,0.0
230,oyo Stay 266,Mumbai,Connaught Place,Classic,1928.0,4.8,0.0,0.0,0.0
231,OYO Stay 444,Delhi,Banjara Hills,Suite,7171.0,3.6,873.0,0.0,228.0
232,oyo Stay 632,Delhi,MG Road,Premium,4726.0,3.6,981.0,22.0,102.0
233,OYO Collection 801,Goa,Banjara Hills,Deluxe,6583.0,3.6,0.0,25.0,0.0
234,OYO Townhouse 918,Ahmedabad,MG Road,Classic,5302.0,3.6,0.0,0.0,126.0
235,oyo Residency 811,Hyderabad,Connaught Place,Deluxe,1616.0,3.6,726.0,0.0,0.0
237,oyo Flagship 21,Kolkata,Connaught Place,Classic,8531.0,3.6,412.0,0.0,11.0
239,OYO Inn 972,Bangalore,Park Street,Deluxe,7857.0,4.0,0.0,44.0,301.0
240,Oyo Inn 706,Pune,City Center,Deluxe,5525.0,2.9,0.0,0.0,0.0
241,OYO Inn 580,Ahmedabad,Airport Road,Deluxe,2405.0,3.6,159.0,0.0,0.0
242,OYO SilverKey 215,Jaipur,Salt Lake,Deluxe,4788.0,3.3,1475.0,29.0,0.0
243,Oyo Stay 385,Pune,Airport Road,Classic,2361.0,3.6,0.0,15.0,150.0
244,Oyo Townhouse 76,Chennai,Andheri,Deluxe,6300.0,4.5,1499.0,10.0,0.0
245,oyo Collection 161,Bangalore,Whitefield,Suite,1577.0,3.3,0.0,0.0,0.0
247,OYO Townhouse 212,Kolkata,Andheri,Deluxe,3498.0,3.6,0.0,30.0,135.0
248,Oyo Flagship 380,Goa,Banjara Hills,Classic,6949.0,2.9,0.0,0.0,31.0
251,OYO Townhouse 434,Kolkata,Airport Road,Classic,1983.0,3.6,0.0,0.0,0.0
252,Oyo Residency 283,Goa,Salt Lake,Deluxe,8206.0,3.6,0.0,0.0,75.0
254,OYO Stay 624,Pune,Banjara Hills,Suite,7281.0,3.6,1414.0,52.0,0.0
255,Oyo SilverKey 864,Hyderabad,Banjara Hills,Deluxe,8754.0,4.7,0.0,33.0,213.0
256,Oyo Flagship 936,Kolkata,Banjara Hills,Deluxe,7371.0,3.6,0.0,0.0,0.0
257,oyo Stay 30,Bangalore,Connaught Place,Deluxe,3546.0,4.5,118.0,0.0,0.0
258,Oyo Stay 407,Chennai,Whitefield,Suite,2729.0,3.6,0.0,60.0,176.0
259,oyo Residency 706,Hyderabad,Park Street,Deluxe,2180.0,2.6,0.0,0.0,0.0
260,oyo Townhouse 886,Pune,Banjara Hills,Classic,845.0,3.6,0.0,0.0,0.0
261,Oyo Residency 358,Pune,Airport Road,Classic,8220.0,3.6,0.0,44.0,0.0
262,oyo Stay 624,Goa,Banjara Hills,Suite,5331.0,3.6,0.0,45.0,0.0
263,OYO Stay 784,Kolkata,City Center,Deluxe,4637.0,3.6,0.0,0.0,0.0
265,Oyo Residency 175,Goa,Connaught Place,Deluxe,3667.0,2.7,0.0,0.0,45.0
266,OYO Inn 893,Chennai,Airport Road,Premium,5731.0,3.6,0.0,23.0,27.0
268,Oyo SilverKey 647,Mumbai,MG Road,Premium,3597.0,4.0,0.0,0.0,45.0
269,Oyo Inn 440,Ahmedabad,Connaught Place,Classic,7309.0,3.6,9.0,0.0,164.0
270,oyo Townhouse 642,Delhi,Banjara Hills,Deluxe,4776.0,3.6,639.0,0.0,33.0
271,Oyo Collection 746,Hyderabad,MG Road,Premium,6235.0,4.5,0.0,0.0,9.0
273,OYO Inn 111,Ahmedabad,Andheri,Deluxe,1023.0,3.6,0.0,40.0,78.0
275,OYO Residency 109,Hyderabad,Banjara Hills,Deluxe,8854.0,3.6,1071.0,50.0,0.0
276,oyo Collection 339,Kolkata,Airport Road,Classic,4542.0,2.5,0.0,0.0,38.0
277,oyo Flagship 468,Hyderabad,Connaught Place,Premium,5550.0,3.6,357.0,23.0,59.0
278,OYO Residency 142,Delhi,Connaught Place,Deluxe,3493.0,3.6,0.0,10.0,0.0
279,Oyo SilverKey 856,Pune,City Center,Deluxe,7019.0,3.6,341.0,0.0,0.0
280,Oyo Residency 583,Ahmedabad,MG Road,Premium,7878.0,3.6,1252.0,0.0,249.0
281,Oyo Townhouse 65,Pune,Park Street,Deluxe,4986.0,3.6,0.0,0.0,173.0
282,oyo Inn 255,Pune,City Center,Classic,8595.0,3.6,788.0,0.0,329.0
283,Oyo Residency 508,Goa,Park Street,Classic,3409.0,3.6,0.0,0.0,0.0
286,Oyo SilverKey 574,Kolkata,Connaught Place,Deluxe,8451.0,4.1,0.0,5.0,0.0
287,OYO Flagship 505,Mumbai,Park Street,Premium,3001.0,3.6,401.0,59.0,0.0
288,Oyo Townhouse 949,Mumbai,City Center,Classic,2718.0,3.6,1032.0,0.0,0.0
289,OYO Inn 593,Goa,Salt Lake,Classic,3545.0,3.6,0.0,37.0,354.0
290,Oyo SilverKey 994,Hyderabad,Banjara Hills,Deluxe,5519.0,4.4,0.0,0.0,0.0
293,Oyo Residency 805,Kolkata,Whitefield,Classic,3336.0,4.1,0.0,0.0,0.0
295,OYO Townhouse 762,Goa,Connaught Place,Classic,4817.0,3.6,0.0,0.0,279.0
296,Oyo Collection 182,Kolkata,Banjara Hills,Classic,1920.0,3.6,1052.0,7.0,135.0
297,oyo Residency 262,Bangalore,Banjara Hills,Premium,792.0,3.6,81.0,0.0,0.0
298,oyo SilverKey 539,Mumbai,Airport Road,Suite,4303.0,3.6,0.0,39.0,113.0
300,oyo SilverKey 391,Delhi,Whitefield,Classic,2557.0,3.6,579.0,57.0,0.0
302,OYO Flagship 551,Pune,Airport Road,Classic,7830.0,4.2,0.0,0.0,27.0
303,oyo Townhouse 589,Hyderabad,Salt Lake,Deluxe,4429.0,3.6,0.0,0.0,60.0
304,OYO Residency 764,Ahmedabad,Airport Road,Suite,1445.0,3.6,0.0,48.0,0.0
306,oyo Residency 569,Delhi,Banjara Hills,Deluxe,3016.0,3.6,0.0,0.0,176.0
307,oyo Residency 525,Pune,City Center,Classic,3033.0,3.6,517.0,0.0,236.0
308,oyo Townhouse 257,Hyderabad,Park Street,Classic,2308.0,3.6,0.0,0.0,145.0
310,OYO Residency 227,Chennai,Andheri,Suite,7845.0,4.4,0.0,35.0,0.0
311,OYO Flagship 662,Goa,Airport Road,Deluxe,2043.0,4.5,1103.0,0.0,38.0
